FilePath,ExportedComponents,LOC,UsesTokens,HasStory,HasTests,ImportCount,LastCommit,CommitHash
frontend/src/layouts/GalleryShell/components/GalleryDock.tsx,GalleryDock,52,yes,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/components/Fireflies.tsx,Fireflies,87,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/GalleryShell/views/GalleryLanding.tsx,GalleryLanding,51,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/MainCanvas.tsx,MainCanvas,30,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/GlobalHeader.tsx,GlobalHeader,52,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/SidePanel.tsx,SidePanel,16,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/NavRail.tsx,NavRail,39,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/anchors/DocumentStackAnchor.tsx,DocumentStackAnchor,50,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/layouts/LaboratoryShell/components/anchors/AnalysisAnchor.tsx,AnalysisAnchor,129,no,no,no,1,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/pages/AnalysisPage.tsx,AnalysisPage,318,yes,no,no,1,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/context/AuthContext.test.tsx,,159,no,no,no,0,2025-12-25,5a614a8ad1c7b791867e5054db248a8df01108d1
frontend/src/features/ingestion/components/DropZone.tsx,DropZone,155,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/analysis/AuditDial.tsx,AuditDial,118,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/dashboard/components/JobCard.tsx,JobCard,113,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/profile/components/ProfileCardMUI.tsx,Profile; ProfileCardMUI; ProfileCardMUIProps,333,yes,no,no,0,2026-01-20,5faf77d0d4db0cabb53416d0bedbf26dffcf7107
frontend/src/features/profile/components/__tests__/ProfileComparison.test.tsx,,396,no,no,no,0,2026-01-20,5faf77d0d4db0cabb53416d0bedbf26dffcf7107
frontend/src/features/style-guide/M3ExpressiveComponents.tsx,AxisVisualizer; MorphPreviewer; SlopAuditor,402,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/features/editor/components/EvidenceCard.tsx,EvidenceCard,110,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/legacy/ui/button.figma.tsx,,44,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/ui/button.stories.tsx,Default; Destructive; Ghost; IconOnly; Large; Link; Outline; Secondary; Small; WithIcon,101,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/components/ui/icon-badge.stories.tsx,Custom; Default; Large; Small,52,no,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/components/ui/metric-card.stories.tsx,CustomColor; Filled; HighValue; Outlined,50,no,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/components/ui/Valve.tsx,Valve; ValveProps,108,yes,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/components/ui/collapsible.stories.tsx,Default,46,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/components/ui/table.stories.tsx,Applications; Default,116,no,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/components/ui/chart.stories.tsx,DefaultBarChart; SingleMetric,78,yes,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/components/ui/HaeckelIcon.tsx,HaeckelIcon; HaeckelIconProps,49,no,no,no,0,2026-01-20,acac6013b48c2ffbbc2fe4874d1dd8356b248dc9
frontend/src/components/ui/StatusBadge/StatusBadge.test.tsx,,29,no,no,no,0,2025-12-31,f4b4e418c2505300fa0acd8a2db7d7e30e2bb7fe
frontend/src/components/core/Stone.figma.tsx,,47,no,no,no,0,2026-01-20,815c3fc48c2cc4397490b9c73c076f44bc794fde
frontend/src/components/core/Pebble.figma.tsx,,57,no,no,no,0,2026-01-20,815c3fc48c2cc4397490b9c73c076f44bc794fde
frontend/src/components/core/Leaf.figma.tsx,,45,no,no,no,0,2026-01-20,815c3fc48c2cc4397490b9c73c076f44bc794fde
